,Unnamed: 0.3,Unnamed: 0,Video,Timestamp,Transcript at Timestamp,Score,category 1 of text,"category 2 of text (subcategory, if applicable)",emotion of comedian at timestamp,action of comedian at timestamp,gesticulating,buildup vs punchline,link,Unnamed: 0.1,Unnamed: 0.2,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
14,14,14,,1:01,"""No two white people picking apples that's romantic,",1,one man conversation,personal,angry,walking,Yes,buildup,,14,14,1.00377334,1.305017554,-0.629855549,-1.386099222,1.535593553,-1.664016753,0.892756505,-0.878832966,0.557534213,-0.936412518,0.06381162,-0.123840536,0.26057076
15,15,15,,1:05,"me? I'm a migrant farm worker do you understand that?""",1,one man conversation,stereotype,angry,walking,Yes,punchline,,15,15,1.06898471,1.297921352,-0.611679124,-1.673749725,1.249562328,-1.512653304,0.986297666,-1.055249765,0.513123134,-0.716181875,0.518457983,-0.116407732,0.051574353
16,16,16,,1:09,like I would be afraid that they would,0,personal,,normal,walking,Yes,buildup,,16,16,1.174150471,1.157735,-0.790838205,-1.414950137,1.299803839,-1.859731203,1.005487232,-0.743835732,0.775298415,-0.508962486,0.035642591,0.123912469,-0.253712254
17,17,17,,1:10,let him go but I'd have to stay,0,personal,,normal,walking,Yes,buildup,,17,17,1.043917511,1.222796808,-0.820723212,-1.406388647,1.695303426,-1.54725355,0.89858323,-0.67233,0.586875585,-0.868266888,0.232974515,-0.091685657,-0.27380312
18,18,18,,1:11,to meet my quota for the day,1,personal,stereotype,angry,miming,Yes,punchline,,18,18,1.069004398,1.240649419,-0.38322155,-1.595244909,1.241604497,-1.669869948,1.118664517,-0.918744721,0.521139785,-0.873997735,0.324258324,-0.206599482,0.132357405
19,19,19,,1:16,"""I'll see you at dinner""",1,one man conversation,personal,sad,miming,Yes,punchline,,19,19,0.908254756,1.196500778,-0.254882747,-1.597772776,1.253263819,-1.701016841,1.199993436,-1.057057639,0.541813592,-0.782764089,0.210847983,-0.232419025,0.315238753
20,20,20,,1:22,I'm a tomboy there's certain things I like to do that,0,personal,,normal,walking,Yes,buildup,,20,20,0.998107542,1.190997485,-0.751691091,-1.600290477,1.460636154,-1.329582647,1.271640022,-0.837122373,0.362942056,-0.865013388,0.511295671,-0.122263472,-0.289655481
21,21,21,,1:24,are kind of girly though like I like,0,personal,,normal,standing,Yes,buildup,,21,21,0.918616741,1.286600664,-0.841960509,-1.936485573,1.153204425,-1.168258047,0.972536505,-0.74983645,0.777908827,-0.632098256,0.798713074,-0.169222252,-0.409719149
22,22,22,,1:25,love songs I love love songs most women,0,personal,,normal,walking,Yes,buildup,,22,22,0.902355016,1.108583328,-0.786923713,-1.250053481,1.773479213,-1.295221003,1.187211347,-1.036987561,-0.097004674,-1.073338381,0.533693289,0.118091142,-0.083884523
23,23,23,,1:29,love love songs here's the thing guys,0,personal,audience,normal,standing,Yes,buildup,,23,23,0.76268553,0.833642871,-0.957425169,-1.119661585,2.107344903,-1.002187505,1.21513451,-0.950263793,-0.166972946,-1.194584743,0.487408437,0.125886116,-0.141006627
24,24,24,,1:31,you don't know this but when we date you,0,personal,audience,normal,standing,Yes,buildup,,24,24,0.807297478,0.917763246,-0.998613296,-1.336792712,1.657525065,-1.3631927,1.645677204,-0.341410581,0.464206891,-0.976354569,-0.095374021,-0.047346953,-0.333385054
25,25,25,,1:35,we pick a song that reminds us of you,1,personal,audience,sad,miming,No,buildup,,25,25,0.928970807,1.005467016,-0.670357654,-1.30750703,1.543501016,-1.795352061,1.464815885,-0.77504875,0.346985039,-0.672882706,0.139836063,-0.12124079,-0.087186836
26,26,26,,1:40,and that's our song,1,personal,,serious,standing,No,buildup,,26,26,0.958749353,1.264072341,-0.538110227,-1.155397051,1.540705261,-1.70725849,1.191408535,-1.06694122,0.301607376,-0.901264177,-0.164886346,-0.008329713,0.285644358
27,27,27,,1:45,you don't know it's our song but that is our song and we'll,1,personal,,normal,standing,Yes,buildup,,27,27,1.054382137,1.171499711,-0.606042818,-1.329550562,1.573185562,-1.632145114,1.083596963,-0.944039622,0.2699619,-1.00740231,0.072643755,0.004717976,0.289192422
28,28,28,,1:49,play this song all day long while we're,0,personal,,normal,standing,Yes,buildup,,28,28,1.023121653,1.179447987,-0.650943344,-1.234927277,1.828478053,-1.188330224,0.743936395,-1.004313682,0.206718784,-1.411547003,-0.06562843,0.073020892,0.500966197
29,29,29,,1:51,with you we'll be driving down the street,0,personal,,normal,standing,Yes,buildup,,29,29,0.921280272,1.087989409,-0.917734917,-1.488844811,1.614633489,-1.529994888,1.083450649,-0.528320533,0.745890189,-0.949586922,0.020208492,-0.18359113,0.124620701
30,30,30,,1:55,"""how am I supposed to live without you""",1,imitation,personal,sad,singing,Yes,punchline,,30,30,1.095135603,1.279922819,-0.534813036,-1.522828191,1.3439293,-1.707630899,0.961392039,-0.889464308,0.667366749,-0.683803921,0.104110133,-0.364593896,0.251277607
31,31,31,,2:05,"""I don't know!""",1,imitation,personal,sad,miming,No,punchline,,31,31,1.097338131,1.20887521,-0.366510429,-1.440795985,1.222979985,-1.864086412,0.95054918,-1.116278152,0.285854979,-0.769136466,0.407023201,-0.021654538,0.405841294
32,32,32,,2:07,then a week later you dumped us you know,1,personal,,serious,walking,No,buildup,,32,32,0.847012293,0.945983331,-0.681694307,-1.380938318,1.536452047,-1.80200074,1.419894832,-0.795919869,0.544236718,-0.674013589,0.055565115,-0.056405742,0.041828231
33,33,33,,2:11,we do we listen to the same song over,0,personal,,normal,walking,No,buildup,,33,33,0.887604024,0.812114844,-0.963636514,-1.024784409,1.979083224,-1.524516581,1.322363282,-0.673782139,0.141678024,-1.040235358,-0.08260694,0.144261741,0.022456803
34,34,34,,2:15,and over again only now we're bitter now,1,personal,,angry,walking,No,buildup,,34,34,1.007663736,1.414408729,-0.40293314,-1.506504222,1.341733592,-1.374353426,1.175708728,-1.052654405,0.211607608,-1.05437279,0.442331225,-0.10411969,-0.098515944
35,35,35,,2:17,I play this song to remind us what a dick you were,1,personal,,angry,walking,Yes,punchline,,35,35,0.911690776,1.169403753,-0.639594687,-1.431859357,1.600230136,-1.629414078,0.849906399,-0.833751687,0.34999195,-1.116794322,0.558426591,0.056808678,0.154955848
36,36,36,,2:21,it's no longer a love song,0,personal,,angry,standing,No,buildup,,36,36,1.005601822,1.191615555,-0.329703989,-1.593476879,1.247844156,-1.574366338,0.956476783,-1.123239699,0.208794611,-1.064746461,0.541625043,0.048046821,0.485528575
37,37,37,,2:22,now it's revenge' we want you dead,1,personal,,angry,turning,No,buildup,,37,37,0.907755551,1.090132322,-0.746446458,-1.402937625,1.643356312,-1.65078988,1.103681573,-0.743133893,0.363849307,-0.99316601,0.382107154,0.034557504,0.011034143
38,38,38,,2:26,we'll lock ourselves in the bedroom put it on high volume,0,personal,,angry,standing,No,buildup,,38,38,0.936646498,1.189359944,-0.667018118,-1.514950626,1.56828231,-1.357289366,0.939850007,-0.835733472,0.210588918,-1.279566978,0.615947865,0.048008069,0.145874949
39,39,39,,2:28,and now the song takes on a,0,personal,,angry,standing,No,buildup,,39,39,0.929555444,1.238880035,-0.627539837,-1.48510688,1.447186802,-1.475433073,0.455328626,-0.917914757,0.330925332,-1.327879058,0.697072383,0.206421267,0.528503716
40,40,40,,2:30,completely different meaning now we're like,0,personal,,angry,walking,No,buildup,,40,40,0.876292367,0.933096865,-1.05685366,-1.479498914,1.485669803,-1.747569812,1.253005921,-0.528711217,0.697130992,-0.662105643,0.110739444,0.035791245,0.08301261
41,41,41,,2:35,"""How am I supposed...How am I supposed...How....How...""",1,imitation,personal,sad,miming,Yes,punchline,,41,41,1.208708494,1.192209812,-0.506776661,-1.221996552,1.421626687,-1.956644738,0.769071196,-1.206620876,0.4572206,-0.455479552,0.197759103,-0.020115795,0.121038282
42,42,42,,2:56,"""screw you I don't need you I'm defriending you on Facebook""",1,imitation,personal,angry,miming,Yes,punchline,,42,42,1.066646391,1.132105761,-0.563727022,-1.30948124,1.47748377,-1.951490072,0.911874979,-0.949117967,0.675260919,-0.540370546,0.067391271,-0.197765637,0.181189394
43,43,43,,3:12,"""relationship status...""",1,imitation,personal,sad,miming,Yes,punchline,,43,43,0.966805675,1.008012454,-0.779971079,-1.44677216,1.571943328,-1.706962973,1.050507393,-0.759773989,0.792606663,-0.734726148,0.061610626,-0.246190231,0.222910441
44,44,44,,3:16,"""it's complicated""",1,imitation,personal,sad,miming,Yes,punchline,,44,44,1.215938388,1.261636228,-0.485673113,-1.589343272,1.003054126,-1.836150592,0.95397281,-1.055162271,0.566210828,-0.364351936,0.350011066,-0.318957601,0.29881534
45,45,45,,3:20,ah it's not part of the joke guys I'm tired,1,personal,unexpected,normal,laying down,Yes,punchline,,45,45,0.93197194,1.148472518,-0.711660482,-1.604194548,1.313675567,-1.680408318,1.283731306,-0.962424589,0.539258579,-0.415528825,0.349054992,-0.1463237,-0.045624438
46,46,46,,3:33,just needed a break,1,personal,unexpected,normal,laying down,Yes,buildup,,46,46,0.86467682,1.11546375,-0.422875307,-1.52702765,1.253967256,-1.836257656,1.347187956,-1.02375013,0.607099149,-0.526618696,0.175213125,-0.094838089,0.067759472
47,47,47,,3:39,"""hey there""",1,imitation,personal,normal,laying down,Yes,buildup,,47,47,0.884623581,1.265134905,-0.480859141,-1.565220478,1.207159253,-1.648608785,1.46946354,-0.958350308,0.38271948,-0.653260463,0.28759246,-0.1614297,-0.028964343
48,48,48,,3:42,if I had a calendar this would be February,1,personal,unexpected,normal,laying down,No,punchline,,48,48,0.847069845,1.173236616,-0.678932706,-1.524929444,1.367684793,-1.567801128,1.507386361,-0.559622186,0.514383174,-0.94072441,0.135631227,-0.150092489,-0.123289654
49,49,49,,3:47,"I do like a lot of music, I can't get into half of rap nowadays you know",0,personal,,normal,standing,Yes,buildup,,49,49,0.992131193,1.271916528,-0.768703765,-1.630770446,1.341483189,-1.459546939,1.10806313,-0.595804716,0.420067044,-1.146646562,0.371681203,0.026586407,0.069543734
50,50,50,,3:50,half of rap sucks you know,0,personal,,normal,standing,Yes,buildup,,50,50,1.011472807,0.954041824,-0.934569493,-1.276028501,1.714630362,-1.613628621,1.082281837,-0.822383208,0.205660025,-0.763336253,0.655881366,0.111614158,-0.325636302
51,51,51,,3:52,cuz it's always the same thing like rap songs,0,personal,,normal,standing,No,buildup,,51,51,0.930495949,0.923191257,-0.997423255,-1.279998285,1.830185402,-1.463240302,1.097662176,-0.308413287,0.496529292,-1.247075328,0.17643675,0.000225941,-0.15857631
52,52,52,,3:54,all the guys want to do is brag about all the cool,0,personal,,normal,walking,No,buildup,,52,52,0.996161637,1.311725739,-0.576968943,-1.258396409,1.494216272,-1.713142516,0.733061914,-0.970619781,0.077078842,-1.117090949,0.598221648,0.315895022,0.109857522
53,53,53,,3:57,stuff they own you know,0,personal,,normal,walking,No,buildup,,53,53,0.872601813,0.920138467,-0.761642705,-0.824776076,2.029189972,-1.271621581,1.213210324,-0.774189922,-0.424420065,-1.417527759,0.149312132,0.334456372,-0.044730971
54,54,54,,3:58,"""I got a Bentley I got a Ferrari""",0,imitation,stereotype,normal,standing,No,buildup,,54,54,0.978331715,1.434917623,-0.558935138,-1.576366179,0.879439562,-1.603513581,1.6182705,-0.426176159,0.367349537,-0.91191517,0.042378411,-0.269197842,0.025416721
55,55,55,,4:00,who cares?,0,personal,,annoyed,standing,No,buildup,,55,55,0.965542446,1.223618813,-0.926553834,-1.522330219,1.398627799,-1.656558874,1.086282113,-0.728757496,0.814286867,-0.427570083,0.206270863,-0.238108667,-0.194749728
56,56,56,,4:02,if I was a burglar though,1,personal,,serious,turning,No,punchline,,56,56,0.873849431,1.051129165,-1.019750062,-1.176302579,1.56389122,-1.667144869,1.403655235,-0.924403697,-0.041872423,-0.570701999,0.065766542,0.559046045,-0.117162007
57,57,57,,4:05,I would do nothing but listen to rap music all day long,0,personal,,normal,standing,No,buildup,,57,57,0.926829139,1.230730785,-0.470291034,-1.459157127,1.397260068,-1.541855458,1.246291226,-0.888121866,0.128632858,-1.182072749,0.413250267,0.099312184,0.099191707
58,58,58,,4:08,see who has the best stuff and take that guy's crap you know like,1,personal,,normal,walking,No,punchline,,58,58,1.020254781,1.216617059,-0.605542157,-1.167496417,1.600872517,-1.640027706,1.152578849,-0.751989469,0.054361234,-1.222693916,0.305803803,0.09156336,-0.054301939
59,59,59,,4:11,"""whoa jay-z's got a Bentley hell yeah I want it,",1,imitation,pop reference,normal,standing,Yes,punchline,,59,59,1.088821581,1.375963606,-0.433470707,-1.597003837,1.395216092,-1.401857295,1.030100295,-1.066119169,0.602915123,-0.728610802,0.181412954,-0.375283873,-0.072083969
60,60,60,,4:14,"stealing his house tomorrow"" yeah",1,imitation,,normal,standing,No,punchline,,60,60,0.9642904,1.273685119,-0.676129432,-1.202547115,1.68086553,-1.702056089,1.035013193,-0.838883801,0.1789303,-0.99413717,0.091011723,0.076707507,0.113249836
61,61,61,,4:16,all rap songs are the same it's always a guy promising,0,personal,,annoyed,standing,Yes,buildup,,61,61,1.033247776,1.207196303,-0.612893973,-1.357919992,1.584816644,-1.752097766,0.689222267,-0.955509223,0.453752723,-0.917709248,0.41474349,-0.040332922,0.253483921
62,62,62,,4:19,promising women expensive things they can't afford,0,personal,stereotype,normal,walking,Yes,buildup,,62,62,0.909109809,1.192135476,-0.818510219,-1.468911113,1.553810157,-1.595327764,1.141961916,-0.572257549,0.607650041,-0.954518072,0.159078339,-0.16705445,0.01283343
63,63,63,,4:21,"you know ""yo yo Louis Vuitton Chanel diamond rings bling bling holla"" ",0,imitation,stereotype,serious,walking,Yes,buildup,,63,63,0.926647057,1.2238995,-0.795853379,-1.504411428,1.440585176,-1.19780947,1.411408279,-0.559321468,0.152080659,-1.361472902,0.173029568,-0.056799952,0.148018362
64,64,64,,4:29,it's like damn you think I mean really do you think I want diamond rings I mean really you know,0,personal,,annoyed,standing,Yes,buildup,,64,64,0.885869305,1.170900042,-0.950331063,-1.75951917,1.415958522,-1.279403699,1.089717195,-0.43879121,0.992633606,-0.843671474,0.024646691,-0.351757994,0.043749248
65,65,65,,4:33,we're in a recession,1,personal,cultural reference,normal,standing,No,punchline,,65,65,0.890320694,1.168519551,-0.817801568,-1.515556747,1.63911579,-1.353469255,1.127627884,-0.729707555,0.589265855,-1.052393858,0.267288216,-0.154786408,-0.058422598
66,66,66,,4:36,I need to pay my cable bill,1,personal,cultural reference,normal,standing,No,punchline,,66,66,0.914091718,1.139952304,-0.453740265,-1.500404941,1.355026838,-1.678477842,1.425945069,-0.865133923,0.530199568,-0.787092196,0.047252032,-0.2394317,0.111813337
67,67,67,,4:39,I mean if rappers could lower their standards and promise me everyday things,0,personal,,normal,standing,No,buildup,,67,67,1.016701279,1.139265968,-0.672235565,-1.533575192,1.494851347,-1.643135227,0.869331434,-0.970678595,0.498024768,-0.809076707,0.573278218,0.007793187,0.029455085
68,68,68,,4:42,I could use you better believe I would,0,personal,,normal,standing,No,buildup,,68,68,0.900452141,1.13704659,-0.941911479,-1.704726809,1.53527468,-1.173189056,1.113840961,-0.421183873,0.906458122,-0.888686643,0.267220323,-0.395466584,-0.335128375
69,69,69,,4:44,be the first woman in line to take them,0,personal,,normal,standing,No,buildup,,69,69,0.961010191,1.316950425,-0.701995783,-1.48373535,1.681000162,-1.426909749,0.617058864,-0.986707415,0.557055993,-0.893602263,0.489983804,-0.257747864,0.127638985
70,70,70,,4:46,up on their offer,1,personal,,normal,standing,No,buildup,,70,70,1.037878289,1.624766957,-0.2002223,-1.237801563,1.258079164,-1.44004543,0.306166943,-1.615274514,0.121945254,-0.889692151,0.614853563,0.010974359,0.40837143
71,71,71,,4:47,jay-z would be up on stage like,0,personal,,normal,standing,No,buildup,,71,71,0.75828388,0.880863815,-1.063245316,-1.581105144,1.469171584,-1.507386027,1.493385942,-0.375676402,0.892722509,-0.565069542,-0.033410506,-0.309579082,-0.058955712
72,72,72,,4:48,"""yo yo I'll buy you a tank of gas""",1,imitation,pop reference,serious,miming,Yes,buildup,,72,72,1.047553905,1.257237583,-0.420710167,-1.46508022,1.332100102,-1.754127747,0.964773598,-1.029699161,0.537227675,-0.866259441,0.252161438,-0.074069038,0.218891475
73,73,73,,4:56,"""jay-z I'll sleep with you for it tank of gas,",1,imitation,personal,laughing,miming,Yes,punchline,,73,73,1.074852636,1.127776036,-0.589755281,-1.410857515,1.310796833,-1.956379257,1.057246115,-0.611275897,0.791621304,-0.744098271,0.007049773,-0.116316814,0.05934034
74,74,74,,5:01,it doesn't even have to be premium,1,imitation,personal,laughing,miming,Yes,punchline,,74,74,1.000758879,1.242449641,-0.479218222,-1.518822391,1.202551359,-1.868695094,1.175936633,-0.590007837,0.748779704,-0.7814005,-0.005970725,-0.2502163,0.123854852
75,75,75,,5:04, I just need to go home,1,imitation,personal,laughing,miming,Yes,punchline,,75,75,0.983032775,1.138155689,-0.477208812,-1.427550719,1.499949746,-1.710976156,1.13328166,-1.011599119,0.532581153,-0.775473606,-0.005761466,-0.157441897,0.279010753
76,76,76,,5:08,gas is expensive,1,personal,,normal,standing,No,punchline,,76,76,0.739504268,0.851149258,-0.862082343,-1.186508468,1.696840857,-1.887660787,1.422428736,-0.737641651,0.600419536,-0.397562731,0.053292037,-0.103338779,-0.188839934
77,77,77,,0:00,"Another thing religious extremists messed up, man, air travel. Just ruined it, man. ",0,audience,stereotype,normal,walking,no,buildup  ,https://www.youtube.com/watch?v=Re2dzNZaCSg&ab_channel=NetflixIsAJoke,77,0,0.861967597,0.572224856,-1.035610117,-0.959574683,1.968280045,-1.566707393,1.362002024,-1.008178091,0.563030213,-0.072100812,0.141020632,-0.250991035,-0.575363237
78,78,78,,0:06,"Remember, it used to be fun to fly?",0,audience,,normal,walking,no,buildup,,78,1,0.769103026,0.953759243,-0.648494439,-0.733039668,1.905846672,-1.886206637,1.324058663,-1.109863012,0.192068529,-0.428179179,0.012726624,0.028698907,-0.380478728
79,79,79,,0:09,You could have a 12:00 flight and leave your house at 11:30. And make it,1,audience,,normal,walking,yes,buildup,,79,2,0.841280721,1.080250836,-0.422630914,-1.139975995,1.625157742,-1.861478748,1.411319187,-1.070175655,0.199885648,-0.481668933,0.220984155,-0.171247089,-0.231700953
80,80,80,,0:17,"Remember, you used to be able to pick grandmother up at the gate?",1,audience,,normal,walking,no,buildup,,80,3,0.796097409,1.066022327,-0.463764022,-1.318183726,1.682235474,-1.758971756,1.254704332,-0.767795912,0.639421024,-0.616844777,0.257809513,-0.520667951,-0.250061935
81,81,81,,0:22,"Now, by the time you get her, she done had a heart attack.",1,audience,unexpected,normal,standing,no,punchline,,81,4,0.981715681,1.224492031,-0.207704331,-1.312774633,1.324809945,-1.944630728,1.162351796,-1.216207248,0.401266291,-0.368486053,0.165092617,-0.274250789,0.064325422
82,82,82,,0:31,She's just dead going around the conveyor belt.,1,sarcasm,unexpected,normal,miming,yes,punchline,,82,5,1.000945049,1.186647442,-0.131552404,-1.245688184,1.250525563,-2.038671382,1.310653104,-1.105138973,0.368975502,-0.443455502,0.019933618,-0.169064904,-0.004108929
83,83,83,,0:41,"""You got a ticket for dead Grandma?""",1,one man conversation,sarcasm,normal,miming,yes,punchline,,83,6,0.925104676,1.224344051,-0.205132161,-1.165170729,1.516787474,-1.924577859,0.955246788,-1.295135347,0.527992334,-0.211387684,0.198247242,-0.536740543,-0.009578241
84,84,84,,0:46,"And they got all this security, they take your shoes, they take your shampoo",0,audience,,normal,miming,yes,buildup,,84,7,0.750027507,0.844879364,-0.859392937,-1.058469253,2.025416452,-1.497050551,1.328841645,-0.685863966,0.633567528,-0.376921181,0.103105273,-0.627665474,-0.580474405
85,85,85,,0:51,When did shampoo become so dangerous?,1,audience,,annoyed,walking,no,buildup,,85,8,0.817511432,0.964775202,-0.488900022,-1.074268481,1.856325889,-1.799629574,1.275701443,-0.888734122,0.447102786,-0.562818648,0.256737282,-0.414218229,-0.389584959
86,86,86,,0:55,"They take your shampoo, you get through security,",0,audience,,normal,standing,yes,buildup,,86,9,0.717087987,0.808739957,-0.791077796,-1.108081318,1.99596616,-1.453476456,1.257930821,-0.581215591,0.886769168,-0.356445954,0.050540268,-0.830933078,-0.595804167
87,87,87,,0:58,and then they sell shampoo at the gift shop.,1,audience,unexpected,normal,standing,yes,punchline,,87,10,0.870481982,0.940014836,-0.648608601,-1.242823408,1.680115919,-1.722993389,1.261401396,-0.957337634,0.731218606,-0.028687056,0.116644569,-0.65082384,-0.348603382
88,88,88,,1:02,"Sometimes, they're trying to sell you your own shampoo back.",1,audience,unexpected,annoyed,walking,yes,punchline,,88,11,0.961542879,1.160428778,-0.346060607,-1.258241909,1.659577453,-1.709049092,0.771305896,-1.423105758,0.58470366,-0.245653132,0.273662084,-0.498754194,0.069643942
89,89,89,,1:07,I know my Prell when I see it.,1,personal,,annoyed,standing,no,punchline,,89,12,0.914596334,1.206119093,-0.152410153,-1.250506312,1.40851179,-1.966431331,1.209894732,-1.120572729,0.248652695,-0.601417151,0.262182176,-0.232049521,0.073430377
90,90,90,,1:12,"Yo, I'm tired of all the security.",0,personal,,annoyed,walking,no,buildup,,90,13,0.955763111,1.348495381,-0.273279303,-1.035669766,1.79654231,-1.544968712,0.58466888,-1.529575795,0.3777037,-0.449280106,0.330886795,-0.60724025,0.045953754
91,91,91,,1:13,"Yo, they need an airline for people that don't give a fuck.",1,swearing,unexpected,annoyed,standing,yes,punchline,,91,14,1.065603009,1.115423437,-0.344281304,-1.222602296,1.468728032,-1.877230676,1.146000436,-1.190647044,0.615868355,-0.356687956,-0.003318287,-0.180997163,-0.235858544
92,92,92,,1:22,"They need an airline with absolutely no security for people that are in a hurry,",1,audience,,normal,standing,yes,buildup,,92,15,0.999385013,1.045679864,-0.407729718,-1.15168598,1.382206274,-2.044506203,1.228152783,-1.006672977,0.771765943,-0.128533251,-0.101994395,-0.22736113,-0.358706222
93,93,93,,1:29,and willing to take their lives in their own hands.,1,audience,unexpected,normal,standing ,yes,buildup,,93,16,1.085416716,1.069812154,-0.29611551,-1.156469175,1.274670638,-2.01809334,1.249296011,-1.217817455,0.607023673,-0.106889893,-0.064558967,-0.078907872,-0.347366981
94,94,94,,1:36,I'll pay an extra $50 for that shit.,1,personal,swearing,normal,standing,yes,buildup,,94,17,1.064356315,0.965479583,-0.464145671,-1.12286785,1.278356957,-2.058571319,1.433111698,-0.974034412,0.49560514,-0.229235659,-0.061314165,0.174974379,-0.501714995
95,95,95,,1:39,They need to call it Risky Airlines.,1,audience,,normal,standing,yes,buildup,,95,18,0.937862995,1.166284233,-0.223471513,-1.224189269,1.362410701,-2.063907528,1.221282456,-0.982646667,0.584088059,-0.28946518,0.087590765,-0.42968746,-0.146151594
96,96,96,,1:43,"That's right. Risky Airlines, Muslims half price.",1,stereotype,unexpected,amused,standing,no,punchline,,96,19,0.97341683,1.161450503,-0.277660803,-1.194533166,1.367219733,-2.048877893,1.243902528,-1.136488084,0.344959191,-0.385660476,0.094238501,-0.128902687,-0.013064178
97,97,97,,1:49,"That's right. The bigger the beard, the more legroom you get.",1,stereotype,unexpected,amused,walking,yes,punchline,,97,20,0.916104378,1.186251013,-0.204995382,-1.218634318,1.33918468,-2.097501672,1.287636239,-0.956933883,0.413557778,-0.372211399,0.148759866,-0.34465093,-0.09656637
98,98,98,,1:56,They won't even have tickets.,0,audience,,normal,standing,yes,buildup,,98,21,0.858653707,0.935078039,-0.558209251,-1.228293502,1.560937918,-1.939856059,1.471258403,-0.762049653,0.312783233,-0.475728364,0.362939858,-0.161954294,-0.375560035
